season_id,Season_Year,athlete_id,Full_Name,Nickname,Jersey_Number,Position,Height,Weight,Team_ID,Team_Name,Team_Acronym,played_matches,played_minutes,total_points,lost_points,tried_points,total_points_percentage,two_points,lost_two_points,tried_two_points,total_two_points_percentage,three_points,lost_three_points,tried_three_points,total_three_points_percentage,free_throw_points,lost_free_throw_points,tried_free_throw_points,free_throws_percentage,dunk_points,lost_dunk_points,tried_dunk_points,total_dunk_points_percentage,tap_points,lost_tap_points,tried_tap_points,total_tap_points_percentage,total_rebounds,offensive_rebounds,defensive_rebounds,steals,total_assists,total_throws,tried_throws,correct_throws,wrong_throws,total_throws_percentage,two_points_throws_total,correct_two_points_throws,wrong_two_points_throws,total_two_points_throws_percentage,three_points_throws_total,correct_three_points_throws,wrong_three_points_throws,total_three_points_throws_percentage,total_free_throws,correct_free_throws,wrong_free_throws,total_free_throws_percentage,total_of_dunks,correct_dunks,wrong_dunks,total_of_dunks_percentage,total_of_taps,correct_taps,wrong_taps,total_of_taps_percentage,total_of_rebound_shots,correct_rebound_shots,total_of_rebound_shots_missed,total_of_rebound_shots_percentage,offensive_fouls,disqualifying_fouls,technical_fouls,unsportsmanlike_fouls,commited_fouls,received_fouls,total_fouls,total_of_violations,twenty_four_seconds_violations,eight_seconds_violations,five_seconds_violations,three_seconds_violations,conducting_violations,field_back_violations,interception_violations,out_field_violations,walk_violations,total_of_blocks,total_of_errors,double_double_total,triple_double_total,bench_points,efficiency,plus_minus,turnovers,CREATE_USER,CREATE_TS,UPDATE_USER,UPDATE_TS,League_ID,League_Name
34,2016,23,Arlindo Gomes Baltazar Neto,Neto,14,4,NaN,76,18,Pinheiros,PIN,41,902.9667,352,656,1008,0.3492,120,170,290,0.4138,165,462,627,0.2632,67,24,91,0.7363,2,0,2,1,0,0,0,NaN,74,17,57,44,106,445,599,336,263,0.5609,145,60,85,0.4138,209,55,462,0.2632,91,67,24,0.7363,1,1,0,1,0,0,0,NaN,0,0,0,NaN,2,0,2,2,70,88,0,13,0,0,0,0,0,0,0,8,5,0,71,0,0,0,242,-75,71,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,26,Jhonatan Luz dos Santos,Jhonatan,7,2,1.96,92,17,Paulistano,CAP,46,1102.1833,351,401,752,0.4668,98,86,184,0.5326,195,300,495,0.3939,58,15,73,0.7945,10,0,10,1,0,0,0,NaN,186,44,142,44,69,330,430,272,158,0.6326,92,49,43,0.5326,165,65,300,0.3939,73,58,15,0.7945,5,5,0,1,0,0,0,NaN,0,0,0,NaN,4,0,1,4,116,85,0,6,0,0,0,0,0,2,0,1,3,5,59,0,0,0,438,171,63,root,2022-07-13 14:40:05.0,root,2022-07-13 14:40:05.0,1,NBB
34,2016,31,Arthur Luiz Belchor Silva,Arthur,4,2,1.97,91,222,Vitória,VIT,36,909.7833,400,412,812,0.4926,150,146,296,0.5068,150,240,390,0.3846,100,26,126,0.7937,4,0,4,1,0,0,0,NaN,140,14,126,17,60,404,484,305,179,0.6302,148,75,73,0.5068,130,50,240,0.3846,126,100,26,0.7937,2,2,0,1,0,0,0,NaN,0,0,0,NaN,5,0,0,3,87,113,0,14,0,0,1,0,0,0,0,6,7,0,67,0,0,0,371,-41,72,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,40,Audrei Parisotto,Audrei,15,2,1.95,94,53,Basq. Cearense,CEA,31,450,119,208,327,0.3639,58,96,154,0.3766,48,108,156,0.3077,13,4,17,0.7647,0,0,0,NaN,0,0,0,NaN,46,17,29,12,8,146,182,94,88,0.5165,77,29,48,0.3766,52,16,108,0.3077,17,13,4,0.7647,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,1,1,41,23,0,2,0,0,0,0,1,0,0,0,1,1,12,0,0,0,86,-92,11,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,43,Shilton Alessanco dos Santos,Shilton,6,3,1.98,108,13,Bauru,BAU,45,955.6333,281,216,497,0.5654,208,152,360,0.5778,0,3,3,0,73,61,134,0.5448,30,0,30,1,0,0,0,NaN,238,84,154,27,28,315,316,178,138,0.5633,180,104,76,0.5778,1,0,3,0,134,73,61,0.5448,15,15,0,1,0,0,0,NaN,0,0,0,NaN,31,0,3,3,133,119,0,7,0,0,0,0,1,1,0,2,3,5,56,3,0,0,385,122,86,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,57,André Luiz Bresolin Góes,André Goes,40,5,1.95,95,222,Vitória,VIT,39,900.5167,302,393,695,0.4345,124,146,270,0.4593,111,228,339,0.3274,67,19,86,0.7791,0,0,0,NaN,0,0,0,NaN,123,20,103,54,115,334,410,242,168,0.5902,135,62,73,0.4593,113,37,228,0.3274,86,67,19,0.7791,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,2,0,2,2,89,76,0,11,0,0,0,0,0,0,0,4,7,6,59,0,0,0,373,7,60,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,58,Alexandre Henrique Santos Pinheiro,Xande,17,1,1.86,80,16,Minas,MIN,28,501.4833,111,150,261,0.4253,52,50,102,0.5098,45,99,144,0.3125,14,1,15,0.9333,0,0,0,NaN,0,0,0,NaN,76,19,57,27,71,114,147,88,59,0.5986,51,26,25,0.5098,48,15,99,0.3125,15,14,1,0.9333,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,4,0,0,1,67,34,0,7,0,0,0,0,1,0,0,4,2,5,38,0,0,0,193,-44,42,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,62,Tiago Valentim de Lima,Tiagão,20,3,2.02,108,53,Basq. Cearense,CEA,29,357.4333,76,144,220,0.3455,36,46,82,439,27,96,123,0.2195,13,2,15,0.8667,0,0,0,NaN,0,0,0,NaN,69,12,57,7,14,97,129,72,57,0.5581,41,18,23,439,41,9,96,0.2195,15,13,2,0.8667,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,10,0,1,1,50,12,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,91,-18,28,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,70,Jefferson de Souza Sobral,J. Sobral,7,3,2.03,95,23,L. Sorocabana,LSB,18,263.2167,139,188,327,0.4251,62,66,128,0.4844,33,111,144,0.2292,44,11,55,0.8,10,0,10,1,0,0,0,NaN,37,8,29,16,16,167,204,123,81,0.6029,64,31,33,0.4844,48,11,111,0.2292,55,44,11,0.8,5,5,0,1,0,0,0,NaN,0,0,0,NaN,1,0,1,0,45,41,0,12,0,0,0,0,0,0,0,5,7,0,28,0,0,0,99,-61,29,root,2022-07-13 14:40:02.0,root,2022-07-13 14:40:02.0,1,NBB
34,2016,78,Guilherme Giovannoni,Giovannoni,12,5,2.04,105,3,Brasília Antigo,BRA,31,975.1333,502,520,1022,0.4912,242,250,492,0.4919,147,258,405,363,113,12,125,904,8,0,8,1,0,0,0,NaN,231,37,194,27,101,506,592,369,223,0.6233,246,121,125,0.4919,135,49,258,363,125,113,12,904,4,4,0,1,0,0,0,NaN,0,0,0,NaN,4,0,5,0,73,107,0,10,0,0,0,2,1,0,0,3,4,13,54,8,0,0,597,136,58,root,2022-07-13 14:40:03.0,root,2022-07-13 14:40:03.0,1,NBB
