player_id;player_name;player_nickname;last_team_id;last_team_name;last_team_acronym
11660;Walter Herrmann Heinrich;Herrmann;2;Flamengo;FLA
11661;Tarvin Raphael Gaines;Gaines;23;L. Sorocabana;LSB
11662;Danillo Aledes de Campos;Danillo;23;L. Sorocabana;LSB
11663;Gerson do Espírito Santo Júnior;Gerson;129;Rio Claro;RCB
11664;André Fonseca Marone;Marone;52;Palmeiras;PAL
11665;Ítalo Cicotti;Ítalo;52;Palmeiras;PAL
11666;Carlos Nicolás Gianella;Gianella;52;Palmeiras;PAL
11667;Jimmy Devon Baxter;J. Baxter;19;São José;SJO
11669;Vinicius da Costa Sabino Pessoa;Vinicius;19;São José;SJO
11671;José Lucas de Castro Lima;Lucas;53;Basq. Cearense;CEA
11672;Rafael Augusto das Neves Lassance Cunha;Lassance;53;Basq. Cearense;CEA
11673;Fernando Silva Buboltz;Buboltz ;210;Caxias do Sul;CAX
11675;Christian Mendonça Gomes Panunzio;Panunzio;19;São José;SJO
11678;Lucas Rosniak;Rosniak;268;Joinville / AABJ;JLE
11680;Henrique Gama Cerimelli;Henrique;13;Bauru;BAU
11682;Lucas Gabriel Vezaro;Vezarinho;268;Joinville / AABJ;JLE
11684;Gabriel Alves Renato;Bié;54;Mogi;MOG
11691;Guilherme Thailan Lessa;Lessa;54;Mogi;MOG
11692;Diogo Teixeira Aga;Aguinha;23;L. Sorocabana;LSB
11693;Ian Curtis Young;Young;87;Macaé Basquete;MAC
11695;Nicolas Rodrigo Dias Ferraz;Nicolas;129;Rio Claro;RCB
11699;Igor Avelino;Igor;87;Macaé Basquete;MAC
11700;Gabriel Jonathan Queiroz Ferreira;Gigante;2;Flamengo;FLA
11701;Carlos Henrique Miorin Gonçalves;Carlão;129;Rio Claro;RCB
11702;ONeal Onami Mims;Mims;20;Uberlândia;UBE
11705;Worrel Oval Glen Clahar;Clahar;23;L. Sorocabana;LSB
11725;Enzo Cafferata;Cafferata;54;Mogi;MOG
11726;Matías Nocedal;Nocedal;23;L. Sorocabana;LSB
11727;Vernon Athelston Goodridge;Goodridge;3;Brasília Antigo;BRA
11730;Jorge Guilherme Iglesias Junior;Iglesias;2;Flamengo;FLA
11743;Kyle E. LaMonte;LaMonte;3;Brasília Antigo;BRA
11745;Igor Alexander Bernardes;Igor;14;Franca;FRA
11746;Rafael Domingues Marques Martins;Rafael;14;Franca;FRA
11747;Cassiano Marinho Bueno;Cassiano;285;São Paulo Futebol Clube;SAO
11750;Fernando Augusto de Oliveira;Fernando;23;L. Sorocabana;LSB
11752;Tadeu Santos Ferreira;Tadeu;87;Macaé Basquete;MAC
11757;Gabriel Assunção Dantas Ribeiro;Assunção;222;Vitória;VIT
11763;Michael Somutochukwu Uchendu;Michael;13;Bauru;BAU
11764;Guilherme Santos;Gui Santos;282;Brasília;BSB
11765;Guilherme Bento do Carmo;Gui Bento;282;Brasília;BSB
11766;Mateus de Oliveira Juzzo;Juzzo;23;L. Sorocabana;LSB
