,cluster,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
0,15,1.5687110395794408,1.1639731502086674,0.7935965964295062,0.4918615487198467,0.8786021468838336,0.4488310294660775,0.08153995414866276,0.5914964834236113,0.11478858803850396,0.41174424484880956
1,7,1.7800196776660016,2.37745973025218,0.9675804006433975,0.5381065517654415,1.9092614725315216,0.7009760405721643,0.24919972907473079,0.637376023948692,0.2556079405970751,0.36772037897634086
2,10,-1.0794451533007035,3.3046185805784978,2.712262140202907,1.6189381586039313,2.855178864557075,1.7224815995875615,-0.08538336462644747,1.8956410420813914,0.6676278474438655,0.9186506245943736
3,8,1.436000322127786,1.2847587772859763,0.4972603788198622,0.17117607964657922,1.0374580793626391,0.7126690332483622,0.17381088766294006,0.3044688991516774,0.42097635775947945,0.10570452042479854
4,1,-1.381273662921299,2.1640606004400738,2.1228003759744434,1.5256666430551544,1.8175561625115417,1.0256632644093122,-0.12010445012981574,1.4149999349069455,-0.11740341365105451,0.8476471929122926
5,4,2.0718669067959534,1.8927174021068554,0.9122778196842318,0.2379564355923522,1.2411209989515477,0.47869599182539807,0.6545846381093626,0.42165950277595404,0.10070337034675804,0.2572647318730268
6,15,1.3912256539401577,1.3469536933594843,0.9725903327138866,0.4701353996117891,0.9834277014386085,0.6574321380180163,-0.07621917913639378,0.7186722580617809,-0.026021381131754832,0.5177219241103076
7,6,1.4840628372497306,2.8180637518434763,1.7359882088254317,0.7246275328876502,2.2534399308924247,1.0829423137127032,0.3319552823665275,0.8433791851346737,0.06678271136276875,0.4389279798115457
8,5,1.2251176456646875,1.409497138782427,1.0763482007586844,0.3935432904310259,0.8861741685913799,0.5811222698940663,0.07404070669106554,0.8405773027276181,0.43749587819948554,0.41447894120351597
9,5,0.10795433203117104,1.260578052422721,1.195495787058396,0.8315456027819187,1.3342486455325167,0.5006806360196425,-0.034230753402083786,0.7658751481248305,-0.12990366209981694,0.5762582168539687
10,8,1.822332191388887,0.9731923729679711,0.05944055023243985,0.031232937563716597,0.46281817700907835,0.1901400079274971,0.19047491373907607,0.15388119833365346,0.020680025573097702,0.41472657843669686
11,7,1.602171751241676,2.5207604672373076,0.8995061749760254,0.3911198880431148,1.5794391995415336,0.9464047389761191,0.8222328610082913,0.44714511034379134,0.4535518244966778,-0.15155145008655954
12,15,1.3367271430424477,0.7046941160993656,0.8169066523352652,0.3636352997037978,0.7815988154719063,0.5175876005211497,0.6171443870811697,0.3330217377478579,0.06007688254662161,0.14845112198943158
13,5,1.1807090337176458,1.0058493253866034,0.7842523776321517,0.5756865693379417,1.197953547702944,0.4914045897429033,0.2541235781482235,0.39904909181356757,0.16589086359501332,0.2091664983860219
14,6,0.22411160430464092,2.289154647244626,1.7804641585332739,1.2872964784419416,1.997777509807265,0.8905094587957517,0.05490342138995876,1.0118768695411415,0.02032621544245416,0.39269858779908273
15,7,1.8151193928320126,2.4825237870493138,0.7083538193471792,0.3190483937387488,1.5392009979064563,1.069820024263467,0.21321897944763243,0.8365892733557524,0.2685585151392482,0.16589670644731858
16,2,2.7458317446587626,3.75036485942253,0.9851562311177872,0.29286411900822334,1.995096652997738,1.4308785085653382,0.7442281420370301,0.8359701311931491,0.6596540953428992,0.3641387875338126
17,4,2.73677230520715,2.498002268250771,0.6239517557784583,0.164420603513881,1.6628211505154038,0.702931415162578,0.535262408148182,0.4608094115209146,0.22320118590564894,0.1289504806037023
18,5,0.5987707545411612,0.7487879696664969,1.2678742928326796,0.6624316720684091,1.062791742182599,0.8332489849158767,0.782704554917565,0.21795895899441398,0.34956884860715476,0.11269151216327737
19,6,0.8126468142892074,2.0234843476928948,1.6309778153633456,1.1552799128885733,1.9715543647465983,1.0775982509350492,0.16053272369032032,1.0912665028816806,0.15211684770329661,0.2175840636961482
20,16,2.0250200049975944,1.6116076038331175,0.8519397316187036,0.5795360755899098,1.366219570380674,0.6586804138190921,0.44815908315331826,0.4523070190506674,0.43444168573360586,0.13189492293429794
21,16,1.8324495305718547,1.6572241595281343,0.4603327982749911,0.23628270083122035,1.1249182745376316,0.48795019090443237,0.29745135137891937,0.49583893108513727,0.17954486485053547,0.12569347571119657
22,8,2.433498574351446,0.7763620348435294,0.5273996148583698,0.22781280897566464,0.8009066733840576,0.40798581550938257,0.07945920537298098,0.28574212905309454,0.1970949933544958,0.21954513678477106
