season_id,season_year,player_id,player_nickname,teammate_id,teammate_nickname,played_minutes,played_percentage,total_minutes
15,2013,23,Neto,62,Tiagão,257.7333333333333,0.522467734306372,1108.8833333333334
15,2013,23,Neto,1016,Tyrone ,250.53333333333336,0.5078721535238867,1108.8833333333334
15,2013,23,Neto,399,Dos Santos,235.53333333333336,0.4774646935603757,1108.8833333333334
15,2013,23,Neto,400,Guto,227.8333333333334,0.4618555307791068,1108.8833333333334
15,2013,23,Neto,1017,Wiggins,184.65000000000006,0.3743158321508211,1108.8833333333334
15,2013,23,Neto,29,Thyago Aleo,176.5666666666667,0.3579295898371512,1108.8833333333334
15,2013,23,Neto,11364,Maxi Stanic,172.56666666666666,0.3498209338468815,1108.8833333333334
15,2013,23,Neto,178,Vinicius,156.56666666666666,0.317386309885803,1108.8833333333334
15,2013,23,Neto,309,Fabricio,132.81666666666666,0.26924116494357725,1108.8833333333334
15,2013,23,Neto,1011,Caleb Brown,76.13333333333333,0.1543347523481316,1108.8833333333334
15,2013,23,Neto,106,R. Piru,38.66666666666667,0.07838367457260625,1108.8833333333334
15,2013,23,Neto,11318,Igor,19.983333333333334,0.040509493884721935,1108.8833333333334
15,2013,23,Neto,11348,Murilo,17.983333333333334,0.03645516588958713,1108.8833333333334
15,2013,23,Neto,11349,Cadu,12.849999999999998,0.026049057368741125,1108.8833333333334
15,2013,23,Neto,1061,Wesley,12.78333333333333,0.025913913102236626,1108.8833333333334
15,2013,26,Jhonatan,423,Figueroa,644.2666666666664,0.8269370641338293,993.3000000000003
15,2013,26,Jhonatan,448,Lucas,586.5333333333333,0.7528344671201813,993.3000000000003
15,2013,26,Jhonatan,1226,Prestes,569.0833333333333,0.730436828819578,993.3000000000003
15,2013,26,Jhonatan,555,Léo Meindl,474.96666666666664,0.6096350489881487,993.3000000000003
15,2013,26,Jhonatan,813,Basden,258.9833333333333,0.3324134685320668,993.3000000000003
15,2013,26,Jhonatan,979,J. Socas,240.95000000000005,0.3092671030676422,993.3000000000003
15,2013,26,Jhonatan,96,Cauê,144.53333333333333,0.18551319899028793,993.3000000000003
15,2013,26,Jhonatan,558,Antonio,76.69999999999999,0.09844692594018738,993.3000000000003
15,2013,26,Jhonatan,600,Feliciano,72.85,0.09350532665896547,993.3000000000003
15,2013,26,Jhonatan,862,Hayes,29.6,0.03799255551277115,993.3000000000003
15,2013,26,Jhonatan,11301,Maique,8.016666666666667,0.01028965045137552,993.3000000000003
15,2013,26,Jhonatan,11299,André M.,6.983333333333333,0.008963333761177427,993.3000000000003
15,2013,26,Jhonatan,980,Felipe,2.9333333333333336,0.0037650280237881317,993.3000000000003
15,2013,29,Thyago Aleo,23,Neto,176.5666666666667,0.6826030927835055,503.68333333333334
15,2013,29,Thyago Aleo,399,Dos Santos,136.10000000000002,0.5261597938144332,503.68333333333334
15,2013,29,Thyago Aleo,1017,Wiggins,135.4333333333333,0.5235824742268043,503.68333333333334
15,2013,29,Thyago Aleo,62,Tiagão,127.13333333333333,0.4914948453608249,503.68333333333334
15,2013,29,Thyago Aleo,1016,Tyrone ,125.83333333333329,0.48646907216494845,503.68333333333334
15,2013,29,Thyago Aleo,400,Guto,116.45,0.45019329896907234,503.68333333333334
15,2013,29,Thyago Aleo,178,Vinicius,75.06666666666666,0.2902061855670104,503.68333333333334
15,2013,29,Thyago Aleo,309,Fabricio,41.91666666666667,0.16204896907216504,503.68333333333334
15,2013,29,Thyago Aleo,1011,Caleb Brown,25.133333333333336,0.09716494845360829,503.68333333333334
15,2013,29,Thyago Aleo,106,R. Piru,18.983333333333334,0.07338917525773199,503.68333333333334
15,2013,29,Thyago Aleo,11364,Maxi Stanic,18.549999999999994,0.07171391752577319,503.68333333333334
15,2013,29,Thyago Aleo,11349,Cadu,13.816666666666665,0.05341494845360826,503.68333333333334
15,2013,29,Thyago Aleo,1061,Wesley,13.349999999999998,0.05161082474226805,503.68333333333334
15,2013,29,Thyago Aleo,11318,Igor,10.333333333333332,0.03994845360824743,503.68333333333334
15,2013,30,Matheus,273,Felipe,334.4,0.7145553616581786,520.4333333333333
15,2013,30,Matheus,11335,Devon,283.0166666666666,0.6047580042024286,520.4333333333333
